agent,turn_order,n,win_rate,avg_final_vp,avg_rank
CONVEX,0,160,0.1375,4.9,2.61875
CONVEX,1,130,0.12307692307692308,4.815384615384615,2.623076923076923
CONVEX,2,168,0.17261904761904762,5.053571428571429,2.488095238095238
CONVEX,3,142,0.2112676056338028,5.471830985915493,2.3732394366197185
GREEDY,0,146,0.2328767123287671,5.376712328767123,2.4246575342465753
GREEDY,1,142,0.2112676056338028,5.676056338028169,2.436619718309859
GREEDY,2,166,0.21686746987951808,5.319277108433735,2.5180722891566263
GREEDY,3,146,0.1506849315068493,4.883561643835616,2.5342465753424657
R,0,147,0.2585034013605442,5.795918367346939,2.238095238095238
R,1,164,0.25609756097560976,5.7926829268292686,2.2621951219512195
R,2,133,0.3082706766917293,6.180451127819549,2.1278195488721803
R,3,156,0.3525641025641026,6.596153846153846,2.0256410256410255
WR,0,147,0.4217687074829932,7.122448979591836,1.8843537414965987
WR,1,164,0.2926829268292683,6.085365853658536,2.182926829268293
WR,2,133,0.2706766917293233,6.142857142857143,2.2781954887218046
WR,3,156,0.358974358974359,6.493589743589744,2.0705128205128207
