lineup_type,lambda,selfish_agent,game_idx,seed,prod_gini,prod_min,prod_max,prod_range,winner_agent,num_turns
CONVEX,0.0,GREEDY,0,1,0.137931,0.388889,0.722222,0.333333,CONVEX,94
CONVEX,0.0,GREEDY,1,2,0.179894,0.305556,0.777778,0.472222,GREEDY,435
CONVEX,0.0,GREEDY,2,3,0.230769,0.194444,0.694444,0.5,GREEDY,477
CONVEX,0.0,GREEDY,3,4,0.077778,0.444444,0.638889,0.194444,R,644
CONVEX,0.0,GREEDY,4,5,0.109453,0.416667,0.722222,0.305556,R,305
CONVEX,0.0,GREEDY,5,6,0.090395,0.416667,0.638889,0.222222,R,446
CONVEX,0.0,GREEDY,6,7,0.105263,0.388889,0.638889,0.25,GREEDY,237
CONVEX,0.0,GREEDY,7,8,0.261438,0.138889,0.694444,0.555556,CONVEX,406
CONVEX,0.0,GREEDY,8,9,0.153846,0.277778,0.611111,0.333333,CONVEX,379
CONVEX,0.0,GREEDY,9,10,0.178571,0.25,0.666667,0.416667,CONVEX,70
CONVEX,0.0,GREEDY,10,11,0.205128,0.194444,0.638889,0.444444,R,398
CONVEX,0.0,GREEDY,11,12,0.205128,0.194444,0.638889,0.444444,R,170
CONVEX,0.0,GREEDY,12,13,0.152047,0.305556,0.666667,0.361111,GREEDY,270
CONVEX,0.0,GREEDY,13,14,0.24359,0.138889,0.666667,0.527778,R,146
CONVEX,0.0,GREEDY,14,15,0.17284,0.277778,0.666667,0.388889,GREEDY,477
CONVEX,0.0,GREEDY,15,16,0.187135,0.25,0.694444,0.444444,CONVEX,565
CONVEX,0.0,GREEDY,16,17,0.190476,0.25,0.694444,0.444444,R,557
CONVEX,0.0,GREEDY,17,18,0.09375,0.472222,0.722222,0.25,GREEDY,198
CONVEX,0.0,GREEDY,18,19,0.135593,0.333333,0.666667,0.333333,CONVEX,118
CONVEX,0.0,GREEDY,19,20,0.181818,0.25,0.666667,0.416667,GREEDY,765
CONVEX,0.0,GREEDY,20,21,0.068627,0.5,0.694444,0.194444,R,131
CONVEX,0.0,GREEDY,21,22,0.081871,0.416667,0.611111,0.194444,R,125
CONVEX,0.0,GREEDY,22,23,0.043011,0.527778,0.638889,0.111111,GREEDY,159
CONVEX,0.0,GREEDY,23,24,0.142077,0.333333,0.694444,0.361111,R,488
CONVEX,0.0,GREEDY,24,25,0.22619,0.194444,0.722222,0.527778,R,671
CONVEX,0.0,GREEDY,25,26,0.126437,0.361111,0.666667,0.305556,GREEDY,477
CONVEX,0.0,GREEDY,26,27,0.154762,0.277778,0.638889,0.361111,CONVEX,214
CONVEX,0.0,GREEDY,27,28,0.163743,0.277778,0.666667,0.388889,GREEDY,513
CONVEX,0.0,GREEDY,28,29,0.230769,0.166667,0.666667,0.5,GREEDY,633
CONVEX,0.0,GREEDY,29,30,0.064516,0.472222,0.638889,0.166667,GREEDY,267
CONVEX,0.0,GREEDY,30,31,0.092308,0.444444,0.694444,0.25,R,323
CONVEX,0.0,GREEDY,31,32,0.075269,0.472222,0.666667,0.194444,GREEDY,399
CONVEX,0.0,GREEDY,32,33,0.157576,0.277778,0.638889,0.361111,GREEDY,909
CONVEX,0.0,GREEDY,33,34,0.031746,0.527778,0.611111,0.083333,R,197
CONVEX,0.0,GREEDY,34,35,0.126437,0.333333,0.638889,0.305556,R,245
CONVEX,0.0,GREEDY,35,36,0.08046,0.416667,0.611111,0.194444,CONVEX,190
CONVEX,0.0,GREEDY,36,37,0.16129,0.305556,0.722222,0.416667,R,128
CONVEX,0.0,GREEDY,37,38,0.301887,0.055556,0.722222,0.666667,NONE,1000
CONVEX,0.0,GREEDY,38,39,0.248366,0.138889,0.666667,0.527778,NONE,1000
CONVEX,0.0,GREEDY,39,40,0.133333,0.305556,0.611111,0.305556,CONVEX,559
CONVEX,0.0,GREEDY,40,41,0.060606,0.527778,0.694444,0.166667,CONVEX,151
CONVEX,0.0,GREEDY,41,42,0.16092,0.305556,0.694444,0.388889,GREEDY,327
CONVEX,0.0,GREEDY,42,43,0.271605,0.111111,0.722222,0.611111,GREEDY,159
CONVEX,0.0,GREEDY,43,44,0.095238,0.416667,0.666667,0.25,CONVEX,454
CONVEX,0.0,GREEDY,44,45,0.144444,0.333333,0.694444,0.361111,GREEDY,225
CONVEX,0.0,GREEDY,45,46,0.10582,0.444444,0.722222,0.277778,R,236
CONVEX,0.0,GREEDY,46,47,0.234568,0.194444,0.722222,0.527778,CONVEX,820
CONVEX,0.0,GREEDY,47,48,0.126437,0.333333,0.638889,0.305556,R,272
CONVEX,0.0,GREEDY,48,49,0.120219,0.388889,0.694444,0.305556,GREEDY,96
CONVEX,0.0,GREEDY,49,50,0.075269,0.472222,0.666667,0.194444,CONVEX,169
CONVEX,0.0,GREEDY,50,51,0.196721,0.25,0.75,0.5,GREEDY,432
CONVEX,0.0,GREEDY,51,52,0.235294,0.222222,0.722222,0.5,R,218
CONVEX,0.0,GREEDY,52,53,0.175439,0.25,0.666667,0.416667,CONVEX,259
CONVEX,0.0,GREEDY,53,54,0.129032,0.361111,0.694444,0.333333,R,257
CONVEX,0.0,GREEDY,54,55,0.148148,0.361111,0.75,0.388889,GREEDY,426
CONVEX,0.0,GREEDY,55,56,0.114943,0.361111,0.638889,0.277778,GREEDY,438
CONVEX,0.0,GREEDY,56,57,0.067797,0.472222,0.638889,0.166667,R,221
CONVEX,0.0,GREEDY,57,58,0.283688,0.111111,0.666667,0.555556,GREEDY,864
