lineup_type,lambda,selfish_agent,game_idx,seed,turn_order,agent,expected_production,final_vp,total_resources_in_hand,prod_gini_game
CONVEX,0.0,GREEDY,0,1,0,CONVEX,0.5,10,20,0.137931
CONVEX,0.0,GREEDY,0,1,1,R,0.722222,5,22,0.137931
CONVEX,0.0,GREEDY,0,1,2,GREEDY,0.388889,4,4,0.137931
CONVEX,0.0,GREEDY,1,2,0,CONVEX,0.666667,4,9,0.179894
CONVEX,0.0,GREEDY,1,2,1,R,0.777778,2,8,0.179894
CONVEX,0.0,GREEDY,1,2,2,GREEDY,0.305556,10,7,0.179894
CONVEX,0.0,GREEDY,2,3,0,CONVEX,0.555556,2,7,0.230769
CONVEX,0.0,GREEDY,2,3,1,R,0.694444,4,20,0.230769
CONVEX,0.0,GREEDY,2,3,2,GREEDY,0.194444,10,3,0.230769
CONVEX,0.0,GREEDY,3,4,0,CONVEX,0.638889,2,10,0.077778
CONVEX,0.0,GREEDY,3,4,1,R,0.444444,10,3,0.077778
CONVEX,0.0,GREEDY,3,4,2,GREEDY,0.583333,7,19,0.077778
CONVEX,0.0,GREEDY,4,5,0,CONVEX,0.722222,4,24,0.109453
CONVEX,0.0,GREEDY,4,5,1,R,0.416667,10,8,0.109453
CONVEX,0.0,GREEDY,4,5,2,GREEDY,0.722222,4,13,0.109453
CONVEX,0.0,GREEDY,5,6,0,CONVEX,0.638889,4,18,0.090395
CONVEX,0.0,GREEDY,5,6,1,R,0.583333,10,17,0.090395
CONVEX,0.0,GREEDY,5,6,2,GREEDY,0.416667,9,5,0.090395
CONVEX,0.0,GREEDY,6,7,0,CONVEX,0.388889,4,7,0.105263
CONVEX,0.0,GREEDY,6,7,1,R,0.555556,7,9,0.105263
CONVEX,0.0,GREEDY,6,7,2,GREEDY,0.638889,10,23,0.105263
CONVEX,0.0,GREEDY,7,8,0,CONVEX,0.583333,10,7,0.261438
CONVEX,0.0,GREEDY,7,8,1,R,0.138889,4,4,0.261438
CONVEX,0.0,GREEDY,7,8,2,GREEDY,0.694444,3,6,0.261438
CONVEX,0.0,GREEDY,8,9,0,CONVEX,0.277778,10,4,0.153846
CONVEX,0.0,GREEDY,8,9,1,R,0.611111,2,8,0.153846
CONVEX,0.0,GREEDY,8,9,2,GREEDY,0.555556,3,12,0.153846
CONVEX,0.0,GREEDY,9,10,0,CONVEX,0.666667,10,12,0.178571
CONVEX,0.0,GREEDY,9,10,1,R,0.638889,2,9,0.178571
CONVEX,0.0,GREEDY,9,10,2,GREEDY,0.25,2,4,0.178571
CONVEX,0.0,GREEDY,10,11,0,CONVEX,0.194444,5,4,0.205128
CONVEX,0.0,GREEDY,10,11,1,R,0.638889,10,2,0.205128
CONVEX,0.0,GREEDY,10,11,2,GREEDY,0.611111,7,10,0.205128
CONVEX,0.0,GREEDY,11,12,0,CONVEX,0.194444,2,4,0.205128
CONVEX,0.0,GREEDY,11,12,1,R,0.638889,10,8,0.205128
CONVEX,0.0,GREEDY,11,12,2,GREEDY,0.611111,4,17,0.205128
CONVEX,0.0,GREEDY,12,13,0,CONVEX,0.305556,3,4,0.152047
CONVEX,0.0,GREEDY,12,13,1,R,0.666667,5,26,0.152047
CONVEX,0.0,GREEDY,12,13,2,GREEDY,0.611111,10,16,0.152047
CONVEX,0.0,GREEDY,13,14,0,CONVEX,0.638889,6,14,0.24359
CONVEX,0.0,GREEDY,13,14,1,R,0.666667,10,15,0.24359
CONVEX,0.0,GREEDY,13,14,2,GREEDY,0.138889,2,6,0.24359
CONVEX,0.0,GREEDY,14,15,0,CONVEX,0.555556,2,10,0.17284
CONVEX,0.0,GREEDY,14,15,1,R,0.666667,2,8,0.17284
CONVEX,0.0,GREEDY,14,15,2,GREEDY,0.277778,10,3,0.17284
CONVEX,0.0,GREEDY,15,16,0,CONVEX,0.25,10,1,0.187135
CONVEX,0.0,GREEDY,15,16,1,R,0.694444,4,18,0.187135
CONVEX,0.0,GREEDY,15,16,2,GREEDY,0.638889,2,7,0.187135
CONVEX,0.0,GREEDY,16,17,0,CONVEX,0.694444,4,11,0.190476
CONVEX,0.0,GREEDY,16,17,1,R,0.25,10,3,0.190476
CONVEX,0.0,GREEDY,16,17,2,GREEDY,0.611111,4,7,0.190476
CONVEX,0.0,GREEDY,17,18,0,CONVEX,0.583333,8,20,0.09375
CONVEX,0.0,GREEDY,17,18,1,R,0.722222,2,12,0.09375
CONVEX,0.0,GREEDY,17,18,2,GREEDY,0.472222,10,8,0.09375
CONVEX,0.0,GREEDY,18,19,0,CONVEX,0.666667,10,21,0.135593
CONVEX,0.0,GREEDY,18,19,1,R,0.638889,2,18,0.135593
CONVEX,0.0,GREEDY,18,19,2,GREEDY,0.333333,2,4,0.135593
CONVEX,0.0,GREEDY,19,20,0,CONVEX,0.666667,6,11,0.181818
CONVEX,0.0,GREEDY,19,20,1,R,0.611111,4,8,0.181818
CONVEX,0.0,GREEDY,19,20,2,GREEDY,0.25,10,1,0.181818
CONVEX,0.0,GREEDY,20,21,0,CONVEX,0.694444,8,16,0.068627
CONVEX,0.0,GREEDY,20,21,1,R,0.5,10,1,0.068627
CONVEX,0.0,GREEDY,20,21,2,GREEDY,0.694444,6,24,0.068627
CONVEX,0.0,GREEDY,21,22,0,CONVEX,0.555556,3,13,0.081871
CONVEX,0.0,GREEDY,21,22,1,R,0.611111,10,20,0.081871
CONVEX,0.0,GREEDY,21,22,2,GREEDY,0.416667,4,3,0.081871
CONVEX,0.0,GREEDY,22,23,0,CONVEX,0.527778,7,6,0.043011
CONVEX,0.0,GREEDY,22,23,1,R,0.555556,2,7,0.043011
CONVEX,0.0,GREEDY,22,23,2,GREEDY,0.638889,10,7,0.043011
CONVEX,0.0,GREEDY,23,24,0,CONVEX,0.694444,4,6,0.142077
CONVEX,0.0,GREEDY,23,24,1,R,0.333333,10,3,0.142077
CONVEX,0.0,GREEDY,23,24,2,GREEDY,0.666667,4,5,0.142077
CONVEX,0.0,GREEDY,24,25,0,CONVEX,0.194444,3,6,0.22619
CONVEX,0.0,GREEDY,24,25,1,R,0.638889,10,23,0.22619
