lambda,selfish_agent,game_idx,seed,vp_gini,vp_min,vp_max,vp_range,winner_agent,num_turns
0.0,GREEDY,0,1,0.190476,4,10,6,CONVEX,202
0.0,GREEDY,1,2,0.380952,2,10,8,GREEDY,255
0.0,GREEDY,2,3,0.333333,2,10,8,GREEDY,684
0.0,GREEDY,3,4,0.280702,2,10,8,R,419
0.0,GREEDY,4,5,0.222222,4,10,6,R,317
0.0,AB,0,1,0.355556,2,10,8,R,59
0.0,AB,1,2,0.333333,2,10,8,R,101
0.0,AB,2,3,0.355556,2,10,8,R,71
0.0,AB,3,4,0.380952,2,10,8,AB,96
0.0,AB,4,5,0.296296,2,10,8,CONVEX,103
0.0,MCTS,0,1,0.15873,5,10,5,R,167
0.0,MCTS,1,2,0.138889,6,11,5,R,203
0.0,MCTS,2,3,0.352941,2,11,9,R,323
0.0,MCTS,3,4,0.280702,2,10,8,MCTS,198
0.0,MCTS,4,5,0.333333,2,10,8,CONVEX,247
0.0,VALUE,0,1,0.210526,4,10,6,CONVEX,118
0.0,VALUE,1,2,0.333333,2,10,8,R,95
0.0,VALUE,2,3,0.380952,2,10,8,R,86
0.0,VALUE,3,4,0.355556,2,10,8,VALUE,114
0.0,VALUE,4,5,0.355556,2,10,8,CONVEX,76
0.0,WR,0,1,0.333333,2,10,8,R,182
0.0,WR,1,2,0.051282,8,10,2,R,338
0.0,WR,2,3,0.190476,4,10,6,WR,864
0.0,WR,3,4,0.151515,5,10,5,CONVEX,286
0.0,WR,4,5,0.333333,2,10,8,R,392
0.222222,GREEDY,0,1,0.2,4,10,6,R,104
0.222222,GREEDY,1,2,0.313725,2,10,8,GREEDY,258
0.222222,GREEDY,2,3,0.333333,2,10,8,GREEDY,597
0.222222,GREEDY,3,4,0.380952,2,10,8,R,167
0.222222,GREEDY,4,5,0.210526,4,10,6,R,377
0.222222,AB,0,1,0.27451,3,10,7,R,74
0.222222,AB,1,2,0.333333,2,10,8,R,101
0.222222,AB,2,3,0.380952,2,10,8,R,71
0.222222,AB,3,4,0.380952,2,10,8,AB,75
0.222222,AB,4,5,0.313725,2,10,8,CONVEX,85
0.222222,MCTS,0,1,0.333333,2,10,8,R,152
0.222222,MCTS,1,2,0.27451,3,10,7,R,311
