lambda,selfish_agent,game_idx,seed,turn_order,agent,final_vp,total_resources_in_hand,vp_gini_game
0.0,GREEDY,0,1,0,CONVEX,10,15,0.190476
0.0,GREEDY,0,1,1,R,7,32,0.190476
0.0,GREEDY,0,1,2,GREEDY,4,3,0.190476
0.0,GREEDY,1,2,0,CONVEX,2,13,0.380952
0.0,GREEDY,1,2,1,R,2,24,0.380952
0.0,GREEDY,1,2,2,GREEDY,10,4,0.380952
0.0,GREEDY,2,3,0,CONVEX,2,7,0.333333
0.0,GREEDY,2,3,1,R,4,24,0.333333
0.0,GREEDY,2,3,2,GREEDY,10,0,0.333333
0.0,GREEDY,3,4,0,CONVEX,2,21,0.280702
0.0,GREEDY,3,4,1,R,10,3,0.280702
0.0,GREEDY,3,4,2,GREEDY,7,28,0.280702
0.0,GREEDY,4,5,0,CONVEX,4,6,0.222222
0.0,GREEDY,4,5,1,R,10,3,0.222222
0.0,GREEDY,4,5,2,GREEDY,4,5,0.222222
0.0,AB,0,1,0,CONVEX,2,7,0.355556
0.0,AB,0,1,1,R,10,5,0.355556
0.0,AB,0,1,2,AB,3,4,0.355556
0.0,AB,1,2,0,CONVEX,2,7,0.333333
0.0,AB,1,2,1,R,10,3,0.333333
0.0,AB,1,2,2,AB,4,5,0.333333
0.0,AB,2,3,0,CONVEX,2,10,0.355556
0.0,AB,2,3,1,R,10,2,0.355556
0.0,AB,2,3,2,AB,3,2,0.355556
0.0,AB,3,4,0,CONVEX,2,4,0.380952
0.0,AB,3,4,1,R,2,5,0.380952
0.0,AB,3,4,2,AB,10,5,0.380952
0.0,AB,4,5,0,CONVEX,10,1,0.296296
0.0,AB,4,5,1,R,6,5,0.296296
0.0,AB,4,5,2,AB,2,13,0.296296
0.0,MCTS,0,1,0,CONVEX,5,17,0.15873
0.0,MCTS,0,1,1,R,10,3,0.15873
0.0,MCTS,0,1,2,MCTS,6,4,0.15873
0.0,MCTS,1,2,0,CONVEX,7,7,0.138889
0.0,MCTS,1,2,1,R,11,6,0.138889
0.0,MCTS,1,2,2,MCTS,6,5,0.138889
0.0,MCTS,2,3,0,CONVEX,4,7,0.352941
0.0,MCTS,2,3,1,R,11,3,0.352941
0.0,MCTS,2,3,2,MCTS,2,1,0.352941
0.0,MCTS,3,4,0,CONVEX,7,3,0.280702
0.0,MCTS,3,4,1,R,2,4,0.280702
0.0,MCTS,3,4,2,MCTS,10,6,0.280702
0.0,MCTS,4,5,0,CONVEX,10,12,0.333333
0.0,MCTS,4,5,1,R,2,4,0.333333
0.0,MCTS,4,5,2,MCTS,4,35,0.333333
0.0,VALUE,0,1,0,CONVEX,10,13,0.210526
0.0,VALUE,0,1,1,R,5,7,0.210526
0.0,VALUE,0,1,2,VALUE,4,4,0.210526
0.0,VALUE,1,2,0,CONVEX,2,26,0.333333
0.0,VALUE,1,2,1,R,10,8,0.333333
0.0,VALUE,1,2,2,VALUE,4,7,0.333333
0.0,VALUE,2,3,0,CONVEX,2,12,0.380952
0.0,VALUE,2,3,1,R,10,7,0.380952
0.0,VALUE,2,3,2,VALUE,2,7,0.380952
0.0,VALUE,3,4,0,CONVEX,2,10,0.355556
0.0,VALUE,3,4,1,R,3,2,0.355556
0.0,VALUE,3,4,2,VALUE,10,9,0.355556
0.0,VALUE,4,5,0,CONVEX,10,6,0.355556
0.0,VALUE,4,5,1,R,3,5,0.355556
0.0,VALUE,4,5,2,VALUE,2,7,0.355556
0.0,WR,0,1,0,CONVEX,4,19,0.333333
0.0,WR,0,1,1,R,10,4,0.333333
0.0,WR,0,1,2,WR,2,4,0.333333
0.0,WR,1,2,0,CONVEX,8,11,0.051282
0.0,WR,1,2,1,R,10,10,0.051282
0.0,WR,1,2,2,WR,8,10,0.051282
0.0,WR,2,3,0,CONVEX,4,18,0.190476
0.0,WR,2,3,1,R,7,5,0.190476
0.0,WR,2,3,2,WR,10,5,0.190476
0.0,WR,3,4,0,CONVEX,10,22,0.151515
0.0,WR,3,4,1,R,5,6,0.151515
0.0,WR,3,4,2,WR,7,2,0.151515
0.0,WR,4,5,0,CONVEX,2,4,0.333333
0.0,WR,4,5,1,R,10,1,0.333333
0.0,WR,4,5,2,WR,4,12,0.333333
0.222222,GREEDY,0,1,0,CONVEX,6,12,0.2
0.222222,GREEDY,0,1,1,R,10,11,0.2
0.222222,GREEDY,0,1,2,GREEDY,4,6,0.2
0.222222,GREEDY,1,2,0,CONVEX,5,15,0.313725
0.222222,GREEDY,1,2,1,R,2,12,0.313725
0.222222,GREEDY,1,2,2,GREEDY,10,2,0.313725
0.222222,GREEDY,2,3,0,CONVEX,4,19,0.333333
0.222222,GREEDY,2,3,1,R,2,11,0.333333
0.222222,GREEDY,2,3,2,GREEDY,10,0,0.333333
0.222222,GREEDY,3,4,0,CONVEX,2,15,0.380952
0.222222,GREEDY,3,4,1,R,10,7,0.380952
0.222222,GREEDY,3,4,2,GREEDY,2,6,0.380952
0.222222,GREEDY,4,5,0,CONVEX,4,17,0.210526
0.222222,GREEDY,4,5,1,R,10,2,0.210526
0.222222,GREEDY,4,5,2,GREEDY,5,17,0.210526
0.222222,AB,0,1,0,CONVEX,4,12,0.27451
0.222222,AB,0,1,1,R,10,5,0.27451
0.222222,AB,0,1,2,AB,3,6,0.27451
0.222222,AB,1,2,0,CONVEX,2,7,0.333333
0.222222,AB,1,2,1,R,10,3,0.333333
0.222222,AB,1,2,2,AB,4,5,0.333333
0.222222,AB,2,3,0,CONVEX,2,5,0.380952
0.222222,AB,2,3,1,R,10,6,0.380952
0.222222,AB,2,3,2,AB,2,5,0.380952
0.222222,AB,3,4,0,CONVEX,2,10,0.380952
0.222222,AB,3,4,1,R,2,6,0.380952
0.222222,AB,3,4,2,AB,10,6,0.380952
0.222222,AB,4,5,0,CONVEX,10,6,0.313725
0.222222,AB,4,5,1,R,5,9,0.313725
0.222222,AB,4,5,2,AB,2,17,0.313725
0.222222,MCTS,0,1,0,CONVEX,2,7,0.333333
0.222222,MCTS,0,1,1,R,10,3,0.333333
0.222222,MCTS,0,1,2,MCTS,4,4,0.333333
0.222222,MCTS,1,2,0,CONVEX,4,7,0.27451
0.222222,MCTS,1,2,1,R,10,1,0.27451
0.222222,MCTS,1,2,2,MCTS,3,4,0.27451
0.222222,MCTS,2,3,0,CONVEX,4,25,0.222222
0.222222,MCTS,2,3,1,R,4,5,0.222222
0.222222,MCTS,2,3,2,MCTS,10,2,0.222222
0.222222,MCTS,3,4,0,CONVEX,2,6,0.380952
0.222222,MCTS,3,4,1,R,10,1,0.380952
0.222222,MCTS,3,4,2,MCTS,2,7,0.380952
0.222222,MCTS,4,5,0,CONVEX,10,8,0.210526
0.222222,MCTS,4,5,1,R,5,5,0.210526
0.222222,MCTS,4,5,2,MCTS,4,7,0.210526
0.222222,VALUE,0,1,0,CONVEX,3,7,0.355556
0.222222,VALUE,0,1,1,R,10,10,0.355556
0.222222,VALUE,0,1,2,VALUE,2,6,0.355556
0.222222,VALUE,1,2,0,CONVEX,2,26,0.355556
0.222222,VALUE,1,2,1,R,10,8,0.355556
0.222222,VALUE,1,2,2,VALUE,3,7,0.355556
0.222222,VALUE,2,3,0,CONVEX,4,13,0.333333
0.222222,VALUE,2,3,1,R,10,3,0.333333
0.222222,VALUE,2,3,2,VALUE,2,3,0.333333
0.222222,VALUE,3,4,0,CONVEX,2,15,0.355556
0.222222,VALUE,3,4,1,R,3,3,0.355556
0.222222,VALUE,3,4,2,VALUE,10,8,0.355556
0.222222,VALUE,4,5,0,CONVEX,10,3,0.313725
0.222222,VALUE,4,5,1,R,5,2,0.313725
0.222222,VALUE,4,5,2,VALUE,2,6,0.313725
0.222222,WR,0,1,0,CONVEX,10,6,0.151515
0.222222,WR,0,1,1,R,7,9,0.151515
0.222222,WR,0,1,2,WR,5,7,0.151515
0.222222,WR,1,2,0,CONVEX,4,18,0.173913
0.222222,WR,1,2,1,R,10,4,0.173913
0.222222,WR,1,2,2,WR,9,7,0.173913
0.222222,WR,2,3,0,CONVEX,4,15,0.190476
0.222222,WR,2,3,1,R,7,4,0.190476
0.222222,WR,2,3,2,WR,10,3,0.190476
0.222222,WR,3,4,0,CONVEX,2,10,0.315789
0.222222,WR,3,4,1,R,11,3,0.315789
0.222222,WR,3,4,2,WR,6,4,0.315789
0.222222,WR,4,5,0,CONVEX,2,3,0.333333
0.222222,WR,4,5,1,R,10,8,0.333333
0.222222,WR,4,5,2,WR,4,11,0.333333
0.444444,GREEDY,0,1,0,CONVEX,2,13,0.333333
0.444444,GREEDY,0,1,1,R,10,31,0.333333
0.444444,GREEDY,0,1,2,GREEDY,4,10,0.333333
0.444444,GREEDY,1,2,0,CONVEX,4,15,0.222222
0.444444,GREEDY,1,2,1,R,10,11,0.222222
0.444444,GREEDY,1,2,2,GREEDY,4,5,0.222222
0.444444,GREEDY,2,3,0,CONVEX,2,13,0.333333
0.444444,GREEDY,2,3,1,R,4,19,0.333333
0.444444,GREEDY,2,3,2,GREEDY,10,2,0.333333
0.444444,GREEDY,3,4,0,CONVEX,12,11,0.289855
0.444444,GREEDY,3,4,1,R,2,4,0.289855
0.444444,GREEDY,3,4,2,GREEDY,9,26,0.289855
0.444444,GREEDY,4,5,0,CONVEX,4,28,0.333333
0.444444,GREEDY,4,5,1,R,10,8,0.333333
0.444444,GREEDY,4,5,2,GREEDY,2,15,0.333333
0.444444,AB,0,1,0,CONVEX,2,9,0.333333
0.444444,AB,0,1,1,R,10,3,0.333333
0.444444,AB,0,1,2,AB,4,6,0.333333
0.444444,AB,1,2,0,CONVEX,3,12,0.355556
0.444444,AB,1,2,1,R,10,5,0.355556
0.444444,AB,1,2,2,AB,2,4,0.355556
0.444444,AB,2,3,0,CONVEX,3,9,0.355556
0.444444,AB,2,3,1,R,10,3,0.355556
0.444444,AB,2,3,2,AB,2,2,0.355556
0.444444,AB,3,4,0,CONVEX,3,15,0.355556
0.444444,AB,3,4,1,R,2,4,0.355556
0.444444,AB,3,4,2,AB,10,4,0.355556
0.444444,AB,4,5,0,CONVEX,10,4,0.259259
0.444444,AB,4,5,1,R,5,2,0.259259
0.444444,AB,4,5,2,AB,3,18,0.259259
0.444444,MCTS,0,1,0,CONVEX,3,7,0.259259
0.444444,MCTS,0,1,1,R,10,5,0.259259
0.444444,MCTS,0,1,2,MCTS,5,7,0.259259
0.444444,MCTS,1,2,0,CONVEX,6,7,0.296296
0.444444,MCTS,1,2,1,R,10,8,0.296296
0.444444,MCTS,1,2,2,MCTS,2,1,0.296296
0.444444,MCTS,2,3,0,CONVEX,4,8,0.190476
0.444444,MCTS,2,3,1,R,7,9,0.190476
0.444444,MCTS,2,3,2,MCTS,10,2,0.190476
0.444444,MCTS,3,4,0,CONVEX,4,8,0.333333
0.444444,MCTS,3,4,1,R,2,5,0.333333
0.444444,MCTS,3,4,2,MCTS,10,5,0.333333
0.444444,MCTS,4,5,0,CONVEX,10,5,0.210526
0.444444,MCTS,4,5,1,R,5,3,0.210526
0.444444,MCTS,4,5,2,MCTS,4,10,0.210526
0.444444,VALUE,0,1,0,CONVEX,3,8,0.291667
0.444444,VALUE,0,1,1,R,10,3,0.291667
0.444444,VALUE,0,1,2,VALUE,3,3,0.291667
0.444444,VALUE,1,2,0,CONVEX,4,23,0.333333
0.444444,VALUE,1,2,1,R,10,12,0.333333
0.444444,VALUE,1,2,2,VALUE,2,3,0.333333
0.444444,VALUE,2,3,0,CONVEX,5,5,0.333333
0.444444,VALUE,2,3,1,R,11,3,0.333333
0.444444,VALUE,2,3,2,VALUE,2,4,0.333333
0.444444,VALUE,3,4,0,CONVEX,4,9,0.210526
0.444444,VALUE,3,4,1,R,5,3,0.210526
0.444444,VALUE,3,4,2,VALUE,10,4,0.210526
0.444444,VALUE,4,5,0,CONVEX,10,9,0.333333
0.444444,VALUE,4,5,1,R,4,2,0.333333
