lineup_id,lineup,game_in_lineup,global_game_id,seed,has_winner,winner_color,winner_agent,num_turns,game_duration_s,vp_std,vp_min,vp_max,vp_range,vp_gini,prod_gini_final,prod_max_min_ratio,turns_until_equalized
0,"R,R,R",0,1,1,1,ORANGE,R,446,0.016919,2.94392,3,10,7,0.259259,0.083333,1.466667,-1
0,"R,R,R",1,2,2,1,RED,R,385,0.015504,2.494438,4,10,6,0.2,0.275556,3.214286,-1
0,"R,R,R",2,3,3,1,RED,R,271,0.010309,3.399346,3,11,8,0.280702,0.191919,2.357143,-1
0,"R,R,R",3,4,4,1,BLUE,R,299,0.009473,2.828427,4,10,6,0.222222,0.054422,1.285714,-1
0,"R,R,R",4,5,5,1,RED,R,381,0.013635,3.299832,2,10,8,0.280702,0.464135,56.0,-1
0,"R,R,R",5,6,6,1,RED,R,296,0.010194,2.494438,4,10,6,0.2,0.373016,7.714286,-1
0,"R,R,R",6,7,7,1,BLUE,R,211,0.010273,3.091206,3,10,7,0.27451,0.407843,7.5,-1
0,"R,R,R",7,8,8,1,RED,R,292,0.012993,3.299832,2,10,8,0.280702,0.27193,7.2,-1
0,"R,R,R",8,9,9,1,ORANGE,R,212,0.007874,3.265986,2,10,8,0.296296,0.275862,4.428571,-1
0,"R,R,R",9,10,10,1,BLUE,R,441,0.018332,1.414214,7,10,3,0.083333,0.051282,1.259259,-1
0,"R,R,R",10,11,11,1,RED,R,168,0.008765,3.771236,2,10,8,0.380952,0.429224,8.833333,-1
0,"R,R,R",11,12,12,1,ORANGE,R,215,0.007661,3.091206,3,10,7,0.27451,0.31746,4.0,-1
0,"R,R,R",12,13,13,1,ORANGE,R,230,0.012187,3.741657,2,11,9,0.285714,0.336088,5.357143,-1
0,"R,R,R",13,14,14,1,RED,R,394,0.014242,3.299832,2,10,8,0.313725,0.28,4.5,-1
0,"R,R,R",14,15,15,1,ORANGE,R,356,0.012326,3.399346,2,10,8,0.266667,0.410774,8.625,-1
0,"R,R,R",15,16,16,1,RED,R,357,0.013243,3.399346,2,10,8,0.266667,0.19883,3.125,-1
0,"R,R,R",16,17,17,1,BLUE,R,296,0.010669,3.399346,2,10,8,0.333333,0.219178,3.0,-1
0,"R,R,R",17,18,18,1,ORANGE,R,608,0.022498,0.816497,8,10,2,0.049383,0.146789,2.0,-1
0,"R,R,R",18,19,19,1,ORANGE,R,322,0.01499,2.160247,5,10,5,0.15873,0.08805,1.482759,-1
0,"R,R,R",19,20,20,1,BLUE,R,294,0.010963,3.559026,2,10,8,0.355556,0.366667,7.6,-1
0,"R,R,R",20,21,21,1,RED,R,202,0.010393,2.494438,4,10,6,0.2,0.065476,1.366667,-1
0,"R,R,R",21,22,22,1,RED,R,259,0.009603,2.867442,3,10,7,0.233333,0.297101,4.153846,-1
0,"R,R,R",22,23,23,1,BLUE,R,166,0.00603,3.265986,2,10,8,0.296296,0.270042,3.133333,-1
0,"R,R,R",23,24,24,1,ORANGE,R,208,0.008297,3.858612,2,11,9,0.352941,0.264368,3.555556,-1
0,"R,R,R",24,25,25,1,RED,R,140,0.005974,3.771236,2,10,8,0.380952,0.34188,6.0,-1
0,"R,R,R",25,26,26,1,BLUE,R,228,0.008934,3.399346,2,10,8,0.333333,0.241546,3.5,-1
0,"R,R,R",26,27,27,1,BLUE,R,323,0.012676,3.559026,2,10,8,0.355556,0.413793,7.0,-1
0,"R,R,R",27,28,28,1,BLUE,R,309,0.012512,3.681787,2,11,9,0.315789,0.128205,1.833333,-1
0,"R,R,R",28,29,29,1,BLUE,R,210,0.010567,3.091206,3,10,7,0.27451,0.152778,2.157895,-1
0,"R,R,R",29,30,30,1,RED,R,330,0.015137,3.858612,2,11,9,0.352941,0.333333,4.285714,-1
0,"R,R,R",30,31,31,1,BLUE,R,203,0.011166,3.299832,2,10,8,0.280702,0.309524,5.727273,-1
0,"R,R,R",31,32,32,1,RED,R,241,0.010152,3.559026,2,10,8,0.253968,0.387755,7.333333,-1
0,"R,R,R",32,33,33,1,RED,R,482,0.015791,1.699673,6,10,4,0.115942,0.352941,5.090909,-1
0,"R,R,R",33,34,34,1,ORANGE,R,280,0.011047,4.027682,2,11,9,0.375,0.390805,5.857143,-1
0,"R,R,R",34,35,35,1,RED,R,96,0.006546,3.091206,3,10,7,0.27451,0.290598,5.636364,-1
0,"R,R,R",35,36,36,1,ORANGE,R,105,0.006119,3.091206,3,10,7,0.27451,0.416667,6.5,-1
0,"R,R,R",36,37,37,1,BLUE,R,408,0.016684,2.054805,5,10,5,0.151515,0.224561,3.666667,-1
0,"R,R,R",37,38,38,1,RED,R,219,0.01052,2.94392,3,10,7,0.259259,0.38835,5.615385,-1
0,"R,R,R",38,39,39,1,ORANGE,R,492,0.017546,2.494438,4,10,6,0.181818,0.277056,3.909091,-1
0,"R,R,R",39,40,40,1,BLUE,R,223,0.00996,3.299832,2,10,8,0.313725,0.391111,9.8,-1
0,"R,R,R",40,41,41,1,BLUE,R,370,0.015847,2.054805,5,10,5,0.151515,0.270042,3.133333,-1
0,"R,R,R",41,42,42,1,RED,R,212,0.010486,3.265986,2,10,8,0.296296,0.255319,3.571429,-1
0,"R,R,R",42,43,43,1,RED,R,388,0.014889,1.885618,6,10,4,0.121212,0.304965,4.909091,-1
0,"R,R,R",43,44,44,1,RED,R,185,0.009551,2.867442,3,10,7,0.233333,0.330275,4.6,-1
0,"R,R,R",44,45,45,1,BLUE,R,187,0.009552,2.357023,5,10,5,0.166667,0.378378,5.5,-1
0,"R,R,R",45,46,46,1,RED,R,385,0.014704,2.160247,5,10,5,0.15873,0.206897,3.454545,-1
0,"R,R,R",46,47,47,1,ORANGE,R,366,0.015926,3.091206,3,10,7,0.212121,0.329218,6.714286,-1
0,"R,R,R",47,48,48,1,BLUE,R,308,0.012963,2.867442,3,10,7,0.245614,0.152381,1.888889,-1
0,"R,R,R",48,49,49,1,RED,R,532,0.01508,3.559026,2,10,8,0.355556,0.42963,8.25,-1
