method,lambda,n,gini_mean,gini_ci_low,gini_ci_high,max_min_ratio_mean,max_min_ratio_ci_low,max_min_ratio_ci_high,total_expected_production_mean,total_expected_production_ci_low,total_expected_production_ci_high,mean_entropy_mean,mean_entropy_ci_low,mean_entropy_ci_high
GREEDY,0.0,20,0.0686960945558754,0.062180864745323514,0.07576787011615511,1.3650122297722918,1.3222526386152549,1.4070587936530272,1.8333333333333335,1.7944444444444447,1.8777777777777775,1.1954003426813384,1.140534445888771,1.2514620878274443
GREEDY,0.2222222222222222,20,0.0686960945558754,0.06176926194800261,0.07536023882326989,1.3650122297722918,1.3223852992552683,1.404890854029012,1.8333333333333335,1.797222222222222,1.8736458333333335,1.1954003426813384,1.1407854360357308,1.2518195614380507
GREEDY,0.4444444444444444,20,0.0686960945558754,0.06195884153924499,0.07538020046690776,1.3650122297722918,1.3227631542648957,1.406311200237671,1.8333333333333335,1.797222222222222,1.8763888888888889,1.1954003426813384,1.1403916296473626,1.2491448598401682
GREEDY,0.6666666666666666,20,0.0686960945558754,0.06194433447714889,0.07542872425251539,1.3650122297722918,1.325250791863795,1.4062522446378867,1.8333333333333335,1.7972222222222225,1.8763888888888889,1.1954003426813384,1.1393551703081444,1.248739748104049
GREEDY,0.8888888888888888,20,0.0686960945558754,0.061893788158624306,0.07585353607185047,1.3650122297722918,1.3250956960136526,1.4050970502235982,1.8333333333333335,1.7944444444444443,1.8750000000000004,1.1954003426813384,1.138577102225656,1.2507235955236233
GREEDY,1.1111111111111112,20,0.0686960945558754,0.06189923297221274,0.07578502986568585,1.3650122297722918,1.3270734344774593,1.4056701465673989,1.8333333333333335,1.7930555555555556,1.875,1.1954003426813384,1.1393302261255425,1.2504397648204868
GREEDY,1.3333333333333333,20,0.0686960945558754,0.06186850073309463,0.07576804760911705,1.3650122297722918,1.3251791675601658,1.4076968426525318,1.8333333333333335,1.7930555555555554,1.875,1.1954003426813384,1.1381448845935582,1.2492565114487053
GREEDY,1.5555555555555554,20,0.0686960945558754,0.061976361460890084,0.07543290688703452,1.3650122297722918,1.3261204981593915,1.406005481897703,1.8333333333333335,1.7958333333333336,1.8736111111111113,1.1954003426813384,1.1361621574840668,1.250338090116454
GREEDY,1.7777777777777777,20,0.0686960945558754,0.061606888208959806,0.07585748920400592,1.3650122297722918,1.3219017544418086,1.4063946170573491,1.8333333333333335,1.7957986111111108,1.875,1.1954003426813384,1.1356357597355424,1.249152888447977
GREEDY,2.0,20,0.0686960945558754,0.06177810771130669,0.07587909429316848,1.3650122297722918,1.323902030030513,1.4053135981665394,1.8333333333333335,1.7944444444444447,1.875,1.1954003426813384,1.1379236458905209,1.2489867965317598
LP,0.0,20,3.3170942916236694e-07,4.978327773535406e-11,9.949988714620252e-07,1.0000014927163534,1.000000000224273,1.0000044775510588,1.5620769221044344,1.399127276336103,1.723686478396343,1.536825683534833,1.4948678986810113,1.5699554880057294
LP,0.2222222222222222,20,1.0904863607406959e-10,9.154804041896286e-11,1.2729030056947303e-10,1.000000000490719,1.0000000004127696,1.0000000005721303,1.8468577286882049,1.8067757267850442,1.8903224101765492,1.5310299046610776,1.499399892888174,1.5572950170598263
