lineup_id,lineup,game_in_lineup,global_game_id,seed,input_slot,turn_order,color,agent,is_winner,rank,final_vp,public_vp,roads_built,settlements_built,cities_built,longest_road_length,has_longest_road,has_largest_army,knights_played,wood_in_hand,brick_in_hand,sheep_in_hand,wheat_in_hand,ore_in_hand,total_resources_in_hand,decide_calls,total_decide_s,avg_decide_ms,num_turns,game_duration_s,vp_std_game,vp_min_game,vp_range_game,vp_gini_game,vp_minus_table_mean,prod_gini_final,prod_max_min_ratio,turns_until_equalized
0,"R,R,R",0,1,1,0,0,RED,R,0,2,5,3,13,3,0,8,0,0,3,0,0,3,0,0,3,405,9.8e-05,0.000241,446,0.016919,2.94392,3,7,0.259259,-1.0,0.083333,1.466667,-1
0,"R,R,R",0,1,1,2,1,ORANGE,R,1,1,10,8,11,2,1,8,1,1,4,0,2,0,0,1,3,434,0.000104,0.00024,446,0.016919,2.94392,3,7,0.259259,4.0,0.083333,1.466667,-1
0,"R,R,R",0,1,1,1,2,BLUE,R,0,3,3,3,15,3,0,6,0,0,4,2,0,0,1,2,5,379,9.1e-05,0.000241,446,0.016919,2.94392,3,7,0.259259,-3.0,0.083333,1.466667,-1
0,"R,R,R",1,2,2,0,0,RED,R,1,1,10,8,15,2,2,8,0,1,7,0,0,0,0,0,0,373,9.1e-05,0.000244,385,0.015504,2.494438,4,6,0.2,3.333333,0.275556,3.214286,-1
0,"R,R,R",1,2,2,2,1,ORANGE,R,0,3,4,3,11,3,0,7,0,0,5,1,1,4,3,0,9,334,8e-05,0.000238,385,0.015504,2.494438,4,6,0.2,-2.666667,0.275556,3.214286,-1
0,"R,R,R",1,2,2,1,2,BLUE,R,0,2,6,4,12,2,0,10,1,0,2,0,3,5,0,0,8,337,7.8e-05,0.000231,385,0.015504,2.494438,4,6,0.2,-0.666667,0.275556,3.214286,-1
0,"R,R,R",2,3,3,0,0,RED,R,1,1,11,7,8,1,1,6,1,1,9,0,0,0,1,1,2,263,6.3e-05,0.000238,271,0.010309,3.399346,3,8,0.280702,4.666667,0.191919,2.357143,-1
0,"R,R,R",2,3,3,2,1,ORANGE,R,0,3,3,2,9,2,0,4,0,0,1,2,0,3,1,0,6,231,5.3e-05,0.00023,271,0.010309,3.399346,3,8,0.280702,-3.333333,0.191919,2.357143,-1
0,"R,R,R",2,3,3,1,2,BLUE,R,0,2,5,5,15,5,0,5,0,0,1,2,1,0,1,0,4,245,5.9e-05,0.00024,271,0.010309,3.399346,3,8,0.280702,-1.333333,0.191919,2.357143,-1
0,"R,R,R",3,4,4,0,0,RED,R,0,2,4,3,10,3,0,5,0,0,1,0,1,0,0,1,2,255,5.8e-05,0.000229,299,0.009473,2.828427,4,6,0.222222,-2.0,0.054422,1.285714,-1
